course_code,title,units,prerequisite_text
ECENGR170A,General Catalog 2024-25,4.0,"courses 2, 101A"
ECENGR170AL,General Catalog 2024-25,,
ECENGR171,General Catalog 2024-25,,
ECENGR172,General Catalog 2024-25,,
ECENGR173A,General Catalog 2024-25,,
ECENGR174,General Catalog 2024-25,,
ECENGR175,General Catalog 2024-25,,
ECENGR176,General Catalog 2024-25,4.0,course 101A
ECENGR180DA,General Catalog 2024-25,4.0,
ECENGR180DB,General Catalog 2024-25,,
ECENGR183DA,General Catalog 2024-25,4.0,course 102
ECENGR183DB,General Catalog 2024-25,4.0,course 183DA
ECENGR188,General Catalog 2024-25,4.0,
ECENGR2,General Catalog 2024-25,4.0,Physics 1C
ECENGR3,General Catalog 2024-25,4.0,
ECENGRC123A,General Catalog 2024-25,,
ECENGRM116C,General Catalog 2024-25,4.0,"course M16 or Computer Science M51A, Computer Science 33"
ECENGRM116L,General Catalog 2024-25,2.0,course M16 or Computer Science M51A
ECENGRM16,General Catalog 2024-25,4.0,
ENVIRON12,General Catalog 2024-25,4.0,
EPSSCI15,General Catalog 2024-25,5.0,
EPSSCI16,PAGE FAILED TO LOAD,,
EPSSCI17,PAGE FAILED TO LOAD,,
EPSSCI20,General Catalog 2024-25,5.0,
EPSSCI3,General Catalog 2024-25,5.0,
LIFESCI7A,General Catalog 2024-25,5.0,
LIFESCI7C,General Catalog 2024-25,5.0,course 7B
MATSCI10,General Catalog 2024-25,1.0,
MATSCI104,General Catalog 2024-25,4.0,"Chemistry 20A, 20B, 20L, Physics 1A"
MATSCI105,General Catalog 2024-25,4.0,"Chemistry 20A, 20B, Physics 1C"
MATSCI110,General Catalog 2024-25,4.0,course 104
MATSCI110L,General Catalog 2024-25,2.0,course 104
MATSCI120,General Catalog 2024-25,4.0,"courses 104, 110 (or Chemistry 113A)"
MATSCI121,General Catalog 2024-25,4.0,course 120
MATSCI121L,General Catalog 2024-25,2.0,course 121
MATSCI122,General Catalog 2024-25,4.0,course 104
MATSCI130,General Catalog 2024-25,4.0,course 104
MATSCI131,General Catalog 2024-25,4.0,course 130 or Chemistry 110A
MATSCI131L,General Catalog 2024-25,2.0,course 131
MATSCI132,General Catalog 2024-25,4.0,course 131
MATSCI140A,General Catalog 2024-25,3.0,"two courses from 132, 150, 160"
MATSCI140B,General Catalog 2024-25,3.0,course 140A
MATSCI141L,General Catalog 2024-25,2.0,
MATSCI143A,General Catalog 2024-25,4.0,"course 104, Mechanical and Aerospace Engineering 101"
MATSCI143L,General Catalog 2024-25,2.0,"courses 90L, 143A (may be taken concurrently)"
MATSCI150,General Catalog 2024-25,4.0,
MATSCI151,General Catalog 2024-25,4.0,course 104
MATSCI160,General Catalog 2024-25,4.0,"courses 104, 130"
MATSCI161,General Catalog 2024-25,4.0,course 160
MATSCI161L,General Catalog 2024-25,2.0,course 160
MATSCI162,General Catalog 2024-25,4.0,"course 104, Physics 1C"
MATSCI170,General Catalog 2024-25,2.0,
MATSCI171,General Catalog 2024-25,2.0,
MATSCI199,General Catalog 2024-25,8.0,
MATSCI90L,General Catalog 2024-25,2.0,
MATSCIC111,General Catalog 2024-25,4.0,
MATSCIC112,General Catalog 2024-25,4.0,
MATH132,General Catalog 2024-25,4.0,"courses 32B, 33B"
MATH170A,General Catalog 2024-25,4.0,"courses 32B, 33A, 131A"
MATH170E,General Catalog 2024-25,4.0,course 32B
MATH31A,General Catalog 2024-25,4.0,successful completion of Mathematics Diagnostic Test or course 1 with grade of C– or better
MATH31B,General Catalog 2024-25,4.0,course 31A with grade of C– or better
MATH32A,General Catalog 2024-25,4.0,course 31A with grade of C– or better
MATH32B,General Catalog 2024-25,4.0,"courses 31B and 32A, with grades of C– or better"
MATH33A,General Catalog 2024-25,4.0,course 3B or 31B or 32A with grade of C– or better
MATH33B,General Catalog 2024-25,4.0,course 31B with grade of C– or better
MATH61,General Catalog 2024-25,4.0,"courses 31A, 31B"
MECHAE1,General Catalog 2024-25,1.0,
MECHAE101,General Catalog 2024-25,4.0,"Mathematics 31A, 31B, Physics 1A"
MECHAE102,General Catalog 2024-25,4.0,"course 101, Mathematics 33A, Physics 1A"
MECHAE103,General Catalog 2024-25,4.0,"Mathematics 32B, 33A, Physics 1B"
MECHAE105A,General Catalog 2024-25,4.0,"Chemistry 20B, Mathematics 32B"
MECHAE105D,General Catalog 2024-25,4.0,"courses 82, 103, 105A"
MECHAE107,General Catalog 2024-25,4.0,"courses M20 (or Computer Science 31), 82, Electrical Engineering 100"
MECHAE131A,General Catalog 2024-25,4.0,"courses M20 (or Civil Engineering M20 or Computer Science 31), 82, 105D"
MECHAE133A,General Catalog 2024-25,4.0,"courses 103, 105A"
MECHAE135,General Catalog 2024-25,4.0,"course 82, Chemistry 20A"
MECHAE150A,General Catalog 2024-25,4.0,"courses 82, 103"
MECHAE150B,General Catalog 2024-25,4.0,"courses 103, 150A"
MECHAE150C,General Catalog 2024-25,4.0,"courses 103, 105A"
MECHAE154A,General Catalog 2024-25,4.0,course 154S
MECHAE154B,General Catalog 2024-25,4.0,"courses 154A, 166A"
MECHAE154S,General Catalog 2024-25,4.0,"courses 150A, 150B"
MECHAE155,General Catalog 2024-25,4.0,course 102
MECHAE156A,General Catalog 2024-25,4.0,"courses 82, 101"
MECHAE157,General Catalog 2024-25,4.0,"courses 101, 102, 103, 105A, 105D, Electrical and Computer Engineering 100"
MECHAE157D,General Catalog 2024-25,,
MECHAE157E,General Catalog 2024-25,,
MECHAE157W,General Catalog 2024-25,6.0,"courses 101, 102, 103, 105A, 105D, Electrical Engineering 100"
MECHAE161A,General Catalog 2024-25,4.0,course 102
MECHAE161B,General Catalog 2024-25,4.0,
MECHAE161C,General Catalog 2024-25,4.0,course 161B
MECHAE162A,General Catalog 2024-25,4.0,"courses M20 (or Computer Science 31), 102"
MECHAE162D,General Catalog 2024-25,4.0,"courses 94, 156A (or 183A or M183B), 162A (or 171A)"
MECHAE162E,General Catalog 2024-25,4.0,course 162D
MECHAE166A,General Catalog 2024-25,4.0,"courses 82, 101"
MECHAE166C,General Catalog 2024-25,4.0,course 156A or 166A
MECHAE169A,General Catalog 2024-25,4.0,"courses 101, 102, 107"
MECHAE171A,General Catalog 2024-25,4.0,course 107
MECHAE172,General Catalog 2024-25,4.0,course 171A
MECHAE174,General Catalog 2024-25,4.0,Mathematics 33A
MECHAE181A,General Catalog 2024-25,4.0,course 82
MECHAE182B,General Catalog 2024-25,4.0,course 82
MECHAE182C,General Catalog 2024-25,4.0,"courses M20 (or Civil Engineering M20 or Computer Science 31), 82"
MECHAE183A,General Catalog 2024-25,4.0,Materials Science 104
MECHAE185,General Catalog 2024-25,4.0,course M20 or Civil Engineering M20 or Computer Science 31
MECHAE20P,General Catalog 2024-25,,
MECHAE82,General Catalog 2024-25,4.0,Mathematics 33A
MECHAE94,General Catalog 2024-25,4.0,
MECHAEC131G,General Catalog 2024-25,4.0,course 105D
MECHAEC134,General Catalog 2024-25,,
MECHAEC136,General Catalog 2024-25,4.0,course 105A or equivalent
MECHAEC137,General Catalog 2024-25,4.0,
MECHAEC138,General Catalog 2024-25,4.0,"courses 105A, 105D"
MECHAEC150G,General Catalog 2024-25,4.0,course 103
MECHAEC150P,General Catalog 2024-25,4.0,"courses 105A, 150A"
MECHAEC150R,General Catalog 2024-25,4.0,"courses 103, 105A"
MECHAEC156B,General Catalog 2024-25,4.0,course 156A or 166A
MECHAEC162B,General Catalog 2024-25,4.0,linear algebra
MECHAEC163A,General Catalog 2024-25,4.0,"courses 155, 171A"
MECHAEC163B,General Catalog 2024-25,4.0,course C163A
MECHAEC163C,General Catalog 2024-25,4.0,course C163B
MECHAEC171B,General Catalog 2024-25,,
MECHAEC175A,General Catalog 2024-25,4.0,"courses 82, 107"
MECHAEC183C,General Catalog 2024-25,4.0,course 183A
MECHAEC186,General Catalog 2024-25,4.0,Physics 1C
MECHAEC187L,General Catalog 2024-25,4.0,
MECHAECM140,General Catalog 2024-25,4.0,"courses 101, 102, and 156A or 166A"
MECHAEM168,General Catalog 2024-25,4.0,course 156A or 166A or Civil Engineering 130
MECHAEM183B,General Catalog 2024-25,4.0,"Chemistry 20A, Physics 1A, 1B, 1C, 4AL"
MECHAEM20,General Catalog 2024-25,4.0,Mathematics 33A
MIMG5,General Catalog 2024-25,4.0,
MIMG6,General Catalog 2024-25,4.0,
NEUROSC10,General Catalog 2024-25,4.0,
PHYSICS1A,General Catalog 2024-25,5.0,"Mathematics 31A, 31B"
PHYSICS1B,General Catalog 2024-25,5.0,"course 1A, Mathematics 31B, 32A"
PHYSICS1C,General Catalog 2024-25,5.0,"course 1A, 1B, Mathematics 32A, 32B"
PHYSICS4AL,General Catalog 2024-25,2.0,course 1A or 1AH
PHYSICS4BL,General Catalog 2024-25,2.0,"courses 1A or 1AH, 1B or 1BH"
STATS100A,General Catalog 2024-25,4.0,"Mathematics 32B, 33A"
